City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
172,Lompoc,US,62.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
174,Tuatapere,NZ,70.09,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
181,Am Timan,TD,73.54,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
183,Salalah,OM,66.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
187,Fukue,JP,60.8,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
189,Prieska,ZA,73.71,clear sky,-29.6641,22.7474,Avenue GuestHouse
198,Portland,US,54.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
219,Veraval,IN,68.0,clear sky,20.9,70.3667,Lords Inn Somnath
220,Tuy Hoa,VN,69.98,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
222,Marquetalia,CO,64.85,overcast clouds,5.2966,-75.055,Hotel Sara Sofia
233,Chuy,UY,69.04,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
234,Seara,PT,55.0,broken clouds,41.1818,-7.8003,Six Senses Douro Valley
236,Mount Gambier,AU,59.0,light rain,-37.8333,140.7667,Commodore on the Park
237,Taltal,CL,67.48,few clouds,-25.4,-70.4833,Residencial Karime
238,Vila Franca Do Campo,PT,62.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
239,Bilma,NE,57.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
244,Nakhon Thai,TH,64.4,scattered clouds,17.1006,100.8374,Phet resort
246,Ribeira Grande,PT,63.12,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
249,Shenzhen,CN,64.0,clear sky,22.5455,114.0683,Shun Hing Square
250,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
251,Boffa,GN,72.55,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
253,Najran,SA,53.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
258,Warrnambool,AU,64.0,broken clouds,-38.3833,142.4833,Lady Bay Resort
259,Murray Bridge,AU,63.0,light rain,-35.1167,139.2667,Balcony On Sixth Lodge
263,Mporokoso,ZM,62.98,light rain,-9.3727,30.125,Government Guest House
266,Douentza,ML,70.02,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
267,Mwene-Ditu,CD,66.31,overcast clouds,-7.0,23.45,Hôtel Kamas
268,Gbadolite,CD,70.56,scattered clouds,4.2833,21.0167,Zenic
270,Kindu,CD,70.27,overcast clouds,-2.95,25.95,Résidence Okanda
271,Gushikawa,JP,64.4,clear sky,26.3544,127.8686,Kirari Guest House
272,San Cristobal,VE,68.16,overcast clouds,7.7669,-72.225,Pirineos
277,Tazmalt,DZ,54.45,broken clouds,36.3868,4.3989,Hôtel Numédia
278,Pathein,MM,68.97,broken clouds,16.7833,94.7333,Pathein Hotel
279,San Quintin,MX,62.31,broken clouds,30.4833,-115.95,Old Mill Hotel
287,Alta Floresta,BR,73.63,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
290,Saint George,US,57.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
291,Songea,TZ,65.26,light rain,-10.6833,35.65,mtakuja
296,Rawson,AR,71.29,few clouds,-43.3002,-65.1023,Hosteria Sampedro
299,Tartagal,AR,73.09,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
301,Myitkyina,MM,54.36,clear sky,25.3833,97.4,Shwe Phyu Hotel
303,Basco,PH,72.19,broken clouds,20.4487,121.9702,Nathaniel's Lodge
304,Zvishavane,ZW,70.21,broken clouds,-20.3267,30.0665,Hotel Boutique Runde
305,Lata,PT,57.0,overcast clouds,40.1629,-8.3327,Casa Maquia
314,Arlit,NE,64.17,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
316,San Anselmo,US,60.01,few clouds,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
322,Fortuna,US,55.0,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
326,Flinders,AU,75.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
338,Te Anau,NZ,69.49,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
340,Necochea,AR,57.99,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
341,Hauterive,FR,51.8,light intensity drizzle,46.0901,3.4459,Aletti Palace Hotel
343,Kousseri,CM,73.4,clear sky,12.0769,15.0306,Résidence le Palmier
357,Marsa Matruh,EG,57.2,clear sky,31.3525,27.2453,Beau Site
358,Valparaiso,CL,66.99,few clouds,-33.0393,-71.6273,Hotel Ultramar
361,Syracuse,IT,54.0,scattered clouds,37.0881,15.2792,Hotel Posta
362,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
364,Ponta Do Sol,PT,57.0,clear sky,32.6667,-17.1,Hotel do Campo
