City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Samarai,PG,2021-01-31 21:05:52,-10.6167,150.6667,81.93,75,2,12.53
128,Pergine Valsugana,IT,2021-01-31 21:05:52,46.065,11.238,37.99,74,0,4.61
129,Lavumisa,SZ,2021-01-31 21:05:52,-27.31,31.892,76.77,89,100,6.87
130,Marsala,IT,2021-01-31 21:04:28,37.7966,12.4352,60.01,77,40,20.71
131,East London,ZA,2021-01-31 21:05:52,-33.0153,27.9116,75.31,80,35,16.49
132,Tharad,IN,2021-01-31 21:05:53,24.3961,71.6267,56.62,36,0,4.47
133,Kenora,CA,2021-01-31 21:05:53,49.8167,-94.4337,23.0,86,90,6.91
134,Tasiilaq,GL,2021-01-31 21:03:11,65.6145,-37.6368,12.2,57,75,1.14
135,Saquarema,BR,2021-01-31 21:05:53,-22.92,-42.5103,84.2,73,40,14.97
136,Victor Harbor,AU,2021-01-31 21:05:53,-35.5667,138.6167,63.0,80,100,1.01
137,Wanxian,CN,2021-01-31 21:05:53,30.8039,108.3897,48.07,83,80,1.1
138,Vostok,RU,2021-01-31 21:05:53,46.4856,135.8833,-3.66,93,100,3.58
139,Geraldton,AU,2021-01-31 21:05:54,-28.7667,114.6,82.4,21,0,17.27
140,Ostrovnoy,RU,2021-01-31 21:05:54,68.0531,39.5131,13.39,94,84,6.93
141,Aasiaat,GL,2021-01-31 21:02:46,68.7098,-52.8699,-3.55,92,75,7.7
142,Cabo San Lucas,MX,2021-01-31 21:05:55,22.8909,-109.9124,79.0,60,90,13.8
143,Taoudenni,ML,2021-01-31 21:05:55,22.6783,-3.9836,72.66,19,0,9.4
144,Barra,BR,2021-01-31 21:05:55,-11.0894,-43.1417,86.63,45,8,7.81
145,Arraial Do Cabo,BR,2021-01-31 21:05:55,-22.9661,-42.0278,84.2,73,40,14.97
146,Marzuq,YE,2021-01-31 21:05:55,14.4,46.4667,60.42,36,0,2.08
147,Sao Filipe,CV,2021-01-31 21:05:55,14.8961,-24.4956,72.97,71,0,7.2
148,Bam,IR,2021-01-31 21:05:56,29.106,58.357,52.68,44,0,2.68
149,Iqaluit,CA,2021-01-31 21:05:56,63.7506,-68.5145,-2.2,78,90,3.44
150,Qaanaaq,GL,2021-01-31 21:05:56,77.484,-69.3632,-3.73,89,100,0.98
151,Pavilosta,LV,2021-01-31 21:05:56,56.8879,21.1859,32.0,86,75,1.14
152,San Policarpo,PH,2021-01-31 21:05:56,12.1791,125.5072,79.07,80,98,16.78
153,Chulumani,BO,2021-01-31 21:05:56,-16.4096,-67.5263,72.23,74,100,3.22
154,Vao,NC,2021-01-31 21:05:56,-22.6667,167.4833,76.17,74,100,25.17
155,Kuryk,KZ,2021-01-31 21:05:56,43.2,51.65,40.55,87,14,3.6
156,Bilgoraj,PL,2021-01-31 21:05:57,50.5411,22.722,16.0,85,0,1.14
157,Belogorsk,RU,2021-01-31 21:05:57,50.9158,128.4611,-30.15,84,84,7.85
158,Vestmannaeyjar,IS,2021-01-31 21:05:57,63.4427,-20.2734,32.86,88,94,14.5
159,Torbay,CA,2021-01-31 21:03:18,47.6666,-52.7314,32.0,93,90,16.11
160,Sitka,US,2021-01-31 21:01:34,57.0531,-135.33,39.2,60,40,8.05
161,Liuli,TZ,2021-01-31 21:05:57,-11.0833,34.6333,78.3,72,100,6.46
