City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
124,Xinxiang,35.3089,113.8672,42.19,52,83,4.52,CN,broken clouds,2021-01-31 23:53:12
125,Sinaloa,25.0,-107.5,75.0,56,75,9.22,MX,broken clouds,2021-01-31 23:54:06
126,Carnarvon,-24.8667,113.6333,84.2,37,85,11.5,AU,overcast clouds,2021-01-31 23:54:07
127,Faanui,-16.4833,-151.75,81.81,72,75,9.57,PF,light rain,2021-01-31 23:44:13
128,Vao,-22.6667,167.4833,75.97,76,100,24.87,NC,overcast clouds,2021-01-31 23:54:07
129,Dzhankoy,45.7167,34.4,43.77,77,99,7.7,UA,overcast clouds,2021-01-31 23:54:07
130,Avera,33.194,-82.5271,48.2,97,90,3.44,US,moderate rain,2021-01-31 23:50:27
131,Butaritari,3.0707,172.7902,80.96,82,80,13.06,KI,light rain,2021-01-31 23:54:07
132,Quelimane,-17.8786,36.8883,76.93,88,16,5.1,MZ,few clouds,2021-01-31 23:54:07
133,Catuday,16.2923,119.8062,73.02,75,20,9.35,PH,few clouds,2021-01-31 23:54:08
134,Anloga,5.7947,0.8973,81.75,83,12,14.9,GH,few clouds,2021-01-31 23:54:08
135,Banda Aceh,5.5577,95.3222,77.0,80,51,11.21,ID,broken clouds,2021-01-31 23:54:08
136,Acapulco,16.8634,-99.8901,84.2,65,1,12.66,MX,clear sky,2021-01-31 23:44:52
137,Nanakuli,21.3906,-158.1547,82.4,47,90,4.61,US,overcast clouds,2021-01-31 23:54:08
138,Hobyo,5.3505,48.5268,74.35,78,8,15.97,SO,clear sky,2021-01-31 23:44:12
139,Estrela,-28.0611,-50.9383,65.61,99,100,4.16,BR,overcast clouds,2021-01-31 23:54:08
140,Arraial Do Cabo,-22.9661,-42.0278,77.45,80,100,28.5,BR,overcast clouds,2021-01-31 23:44:20
141,Bluff,-46.6,168.3333,60.84,68,69,8.05,NZ,broken clouds,2021-01-31 23:49:47
142,Isangel,-19.55,169.2667,82.4,78,75,9.22,VU,broken clouds,2021-01-31 23:49:25
143,East London,-33.0153,27.9116,72.82,70,19,18.21,ZA,few clouds,2021-01-31 23:54:09
144,Leningradskiy,69.3833,178.4167,-20.85,86,95,10.31,RU,overcast clouds,2021-01-31 23:49:26
145,Norman Wells,65.282,-126.8329,-20.2,69,75,11.5,CA,broken clouds,2021-01-31 23:44:33
146,Jamestown,42.097,-79.2353,28.99,74,90,13.8,US,overcast clouds,2021-01-31 23:54:09
147,Deputatskiy,69.3,139.9,-26.18,88,99,2.39,RU,overcast clouds,2021-01-31 23:45:11
148,Balkanabat,39.5108,54.3671,46.18,66,0,4.36,TM,clear sky,2021-01-31 23:54:09
149,Xiongzhou,25.1167,114.3,58.91,57,42,2.86,CN,scattered clouds,2021-01-31 23:54:09
150,Sargur,11.9833,76.4167,63.54,74,41,5.1,IN,scattered clouds,2021-01-31 23:54:10
151,Cherskiy,68.75,161.3,-14.08,82,96,6.58,RU,overcast clouds,2021-01-31 23:44:15
152,Chilca,-12.5211,-76.7372,77.0,78,0,13.8,PE,clear sky,2021-01-31 23:54:10
153,Easton,40.6884,-75.2207,21.99,86,90,13.8,US,snow,2021-01-31 23:51:36
154,Iwanai,42.9744,140.5089,26.35,92,94,9.4,JP,overcast clouds,2021-01-31 23:54:10
155,Kasongo-Lunda,-6.4667,16.8167,69.17,85,61,1.14,CD,broken clouds,2021-01-31 23:54:10
